prdtypecode,libelle,encoded_target
10,Livres 1,0
40,Ustensiles de nettoyage - aspirateurs,1
50,Accessoires de jeu vidéo,2
60,Consoles de jeux vintage,3
1140,Figurines,4
1160,Cartes à échanger,5
1180,Jeux de rôle et jeux de figurines,6
1280,Jouets,7
1281,Loisirs d'intérieur,8
1300,Modélisme,9
1301,Puériculture - billard,10
1302,Loisirs d extérieur,11
1320,Purifieur air - parure lit bebe - sac a dos,12
1560,Mobilier d intérieur,13
1920,Linge de maison,14
1940,Alimentation,15
2060,Eclairage et décoration,16
2220,Animalerie,17
2280,Archives journaux et presse,18
2403,Magazines et revues,19 
2462,Console de jeu et jeu vidéo,20
2522,Papeterie,21
2582,Décoration extérieure et accessoires,22
2583,Accessoires piscine et spa,23
2585,Bricolage - jardinage,24
2705,Livres 2,25
2905,Jeux en téléchargement,26
